id,peak,average
1172470,330879,253867.33333333334
1063730,913027,543310.75
892970,498478,136018.72727272726
252490,244394,153352.58333333334
578080,464480,418509.3333333333
730,1198581,989297.0
271590,218784,168795.25
1091500,225670,40678.333333333336
570,756170,703103.0
1240440,256619,202200.5
440,150037,119719.33333333333
1085660,187504,124126.16666666667
680420,125123,20832.11111111111
1248130,96402,88128.0
1517290,100590,73978.5
230410,181509,85921.58333333333
1468810,183985,58629.583333333336
381210,105052,76206.08333333333
238960,157091,87280.83333333333
945360,130138,48739.333333333336
1196590,106631,16701.125
1203220,186707,154312.0
431960,105188,67282.83333333333
252950,112482,80238.83333333333
359550,199830,109713.08333333333
346110,147475,86359.08333333333
227300,59999,47774.5
1238810,89814,38265.833333333336
594570,74898,39207.583333333336
1454400,67806,40520.75
218620,61808,51032.083333333336
236390,63379,44177.916666666664
304930,70692,39687.833333333336
1254120,76273,32290.6
1466860,73629,56753.666666666664
322330,60155,40342.25
250900,70483,31163.666666666668
1172620,62889,35179.666666666664
677620,67724,14268.583333333334
740130,60274,20930.0
1551360,80745,55997.5
739630,68797,38064.5
413150,94479,46620.916666666664
39210,95102,46314.583333333336
924970,65873,34757.666666666664
1623660,97125,63800.2
105600,84258,54002.583333333336
242760,63683,28258.75
582010,56758,38072.916666666664
394360,68019,44781.666666666664
