id,peak,average
252490,244394,153352.58333333334
1172470,330879,253867.33333333334
892970,498478,136018.72727272726
1063730,913027,543310.75
1091500,225670,40678.333333333336
1240440,256619,202200.5
730,1198581,989297.0
578080,464480,418509.3333333333
570,756170,703103.0
271590,218784,168795.25
440,150037,119719.33333333333
680420,125123,20832.11111111111
1468810,183985,58629.583333333336
238960,157091,87280.83333333333
1248130,96402,88128.0
1203220,186707,154312.0
381210,105052,76206.08333333333
1517290,100590,73978.5
230410,181509,85921.58333333333
252950,112482,80238.83333333333
359550,199830,109713.08333333333
1085660,187504,124126.16666666667
945360,130138,48739.333333333336
1196590,106631,16701.125
431960,105188,67282.83333333333
346110,147475,86359.08333333333
304930,70692,39687.833333333336
39210,95102,46314.583333333336
924970,65873,34757.666666666664
413150,94479,46620.916666666664
1466860,73629,56753.666666666664
250900,70483,31163.666666666668
105600,84258,54002.583333333336
322330,60155,40342.25
677620,67724,14268.583333333334
218620,61808,51032.083333333336
236390,63379,44177.916666666664
740130,60274,20930.0
1623660,97125,63800.2
227300,59999,47774.5
1172620,62889,35179.666666666664
1254120,76273,32290.6
1454400,67806,40520.75
1238810,89814,38265.833333333336
1551360,80745,55997.5
594570,74898,39207.583333333336
739630,68797,38064.5
242760,63683,28258.75
813780,38725,27794.25
251570,61449,36087.0
281990,57250,27280.75
1145360,35048,14458.916666666666
1313860,43733,27098.75
1384160,30939,11742.42857142857
292030,62211,41101.833333333336
582010,56758,38072.916666666664
648800,30747,16958.583333333332
489830,53665,33199.583333333336
597820,36397,6502.75
594650,34248,25652.75
1184370,46563,22369.25
1056640,59197,12477.166666666666
231430,34707,13631.916666666666
1124300,55232,17467.8
1371580,47619,45661.0
550,49003,35328.833333333336
858820,30930,12022.666666666666
960090,53891,30053.5
108600,53071,10122.083333333334
386360,31169,23918.333333333332
1238840,43290,17441.666666666668
239140,35493,20856.083333333332
1277400,34947,9289.833333333334
1366540,59339,21326.75
632360,55559,15053.833333333334
1483870,40450,9848.083333333334
1328670,59650,18422.375
377160,34180,24232.666666666668
700600,26509,4115.555555555556
1217060,35002,15279.583333333334
294100,50850,28029.333333333332
8930,31565,25639.083333333332
548430,41544,17523.583333333332
289070,71565,58134.083333333336
107410,37235,27303.083333333332
255710,39610,26925.0
221100,45973,37960.5
444200,56489,38667.916666666664
526870,34145,21309.416666666668
1782210,56042,46067.666666666664
1506830,75462,61979.666666666664
394360,68019,44781.666666666664
306130,43272,33021.916666666664
291550,34169,29205.333333333332
1149460,52305,52305.0
275850,38538,16160.333333333334
787860,37393,34071.25
1325200,41273,12141.363636363636
1281930,30437,19511.0
1282730,51078,7509.2
4000,46668,41880.833333333336
1049590,41304,17448.666666666668
